geneCluster	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	predicted_gene_name	GO_terms	KEGG_KOs	BiGG_reactions	Annotation_tax_scope	OGs	bestOG|evalue|score	COG cat	eggNOG annot
GC00000280_2	322710.Avin_49250	2.2e-300	1036.2			K01687,K13875		bactNOG[38]	05C01@bactNOG,0QMR0@gproNOG,16PQJ@proNOG,COG0129@NOG	NA|NA|NA	E	Dihydroxy-acid dehydratase
GC00000280_3	1114970.PSF113_2471	2.1e-306	1056.2	ILVD1		K01687		bactNOG[38]	05C01@bactNOG,0QP1A@gproNOG,16PQJ@proNOG,COG0129@NOG	NA|NA|NA	E	dihydroxy-acid dehydratase
GC00000280_4	575586.HMPREF0016_02560	1.5e-309	1066.6	ILVD	GO:0003674,GO:0003824,GO:0004160,GO:0005575,GO:0005623,GO:0005886,GO:0006082,GO:0006520,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009081,GO:0009082,GO:0009987,GO:0016020,GO:0016053,GO:0016829,GO:0016835,GO:0016836,GO:0019752,GO:0040007,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044464,GO:0044710,GO:0044711,GO:0046394,GO:0071704,GO:0071944,GO:1901564,GO:1901566,GO:1901576	K01687	DHAD1,DHAD2	bactNOG[38]	05C01@bactNOG,0QHUB@gproNOG,16PQJ@proNOG,COG0129@NOG	NA|NA|NA	E	dihydroxy-acid dehydratase
GC00000280_5	259536.Psyc_1304	0.0	1098.2	ILVD	GO:0003674,GO:0003824,GO:0004160,GO:0006082,GO:0006520,GO:0006549,GO:0006551,GO:0006573,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009081,GO:0009082,GO:0009097,GO:0009098,GO:0009099,GO:0009987,GO:0016053,GO:0016829,GO:0016835,GO:0016836,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044710,GO:0044711,GO:0046394,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	K01687	DHAD1,DHAD2,DHAD3	bactNOG[38]	05C01@bactNOG,0QHUB@gproNOG,16PQJ@proNOG,COG0129@NOG	NA|NA|NA	E	dihydroxy-acid dehydratase
GC00000281_1	553217.ENHAE0001_2353	1.6e-44	185.3	PARB		K03497		bactNOG[38]	05FA0@bactNOG,0QJIJ@gproNOG,16QIW@proNOG,COG1475@NOG	NA|NA|NA	K	Partitioning protein
GC00000281_2	553217.ENHAE0001_2353	1.5e-48	198.7	PARB		K03497		bactNOG[38]	05FA0@bactNOG,0QJIJ@gproNOG,16QIW@proNOG,COG1475@NOG	NA|NA|NA	K	Partitioning protein
GC00000281_3	553217.ENHAE0001_2353	2.8e-20	103.6	PARB		K03497		bactNOG[38]	05FA0@bactNOG,0QJIJ@gproNOG,16QIW@proNOG,COG1475@NOG	NA|NA|NA	K	Partitioning protein
GC00000281_4	553217.ENHAE0001_2353	1.1e-43	182.6	PARB		K03497		bactNOG[38]	05FA0@bactNOG,0QJIJ@gproNOG,16QIW@proNOG,COG1475@NOG	NA|NA|NA	K	Partitioning protein
GC00000281_5	232721.Ajs_4306	3.1e-52	211.1			K03497		bactNOG[38]	05Z7R@bactNOG,0BEHE@bproNOG,17MBG@proNOG,COG1475@NOG	NA|NA|NA	K	KorB domain
GC00000281_6	575588.HMPREF0017_02881	6.1e-31	140.2			K03497		bactNOG[38]	05GC2@bactNOG,17EDX@proNOG,COG1475@NOG	NA|NA|NA	K	KorB domain
GC00000281_7	575586.HMPREF0016_02994	1.1e-166	591.3			K03497		NOG[107]	COG1475@NOG	NA|NA|NA	K	parb-like partition protein
GC00000281_r1_1	553217.ENHAE0001_2353	7.5e-50	203.0	PARB		K03497		bactNOG[38]	05FA0@bactNOG,0QJIJ@gproNOG,16QIW@proNOG,COG1475@NOG	NA|NA|NA	K	Partitioning protein
GC00000281_r1_2	575588.HMPREF0017_02881	8.1e-39	166.4			K03497		bactNOG[38]	05GC2@bactNOG,17EDX@proNOG,COG1475@NOG	NA|NA|NA	K	KorB domain
GC00000281_r1_r1_1	575588.HMPREF0017_02837	8.6e-147	525.0	PARB		K03497		bactNOG[38]	05FA0@bactNOG,0QJIJ@gproNOG,16QIW@proNOG,COG1475@NOG	NA|NA|NA	K	Partitioning protein
GC00000281_r1_r1_2	553217.ENHAE0001_2353	2.7e-132	476.9	PARB		K03497		bactNOG[38]	05FA0@bactNOG,0QJIJ@gproNOG,16QIW@proNOG,COG1475@NOG	NA|NA|NA	K	Partitioning protein
GC00000281_r1_r1_3	259536.Psyc_1319	9.7e-111	405.2	PARB	GO:0000003,GO:0000910,GO:0007049,GO:0008150,GO:0009987,GO:0019954,GO:0022402,GO:0032505,GO:0043093,GO:0044699,GO:0044763,GO:0051301	K03497		bactNOG[38]	05FA0@bactNOG,16QIW@proNOG,COG1475@NOG	NA|NA|NA	K	Chromosome Partitioning Protein
GC00000282_1	221109.OB1354	5.4e-47	194.1		GO:0005575,GO:0016020	K03307		bactNOG[38]	04ZFJ@bacNOG,07R7K@bactNOG,0NE51@firmNOG,COG0591@NOG	NA|NA|NA	E	Sodium:solute symporter family
GC00000282_2	511062.GU3_14385	4.3e-180	636.3	YODF	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	K03307	PROt2r	bactNOG[38]	05E1V@bactNOG,0QPEB@gproNOG,16RNA@proNOG,COG0591@NOG	NA|NA|NA	E	Solute Na symporter, SSS family
GC00000282_3	228399.appser1_20430	6.6e-194	682.2	PANF	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	K14392	PNTOt4,PNTOt4pp	bactNOG[38]	08IA2@bactNOG,0RAN9@gproNOG,172M9@proNOG,COG4145@NOG	NA|NA|NA	H	Sodium pantothenate symporter
GC00000282_4	259536.Psyc_1415	4.7e-227	792.3	PUTP	GO:0003333,GO:0003674,GO:0005215,GO:0005283,GO:0005298,GO:0005342,GO:0005343,GO:0005416,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006812,GO:0006814,GO:0006820,GO:0006865,GO:0006869,GO:0008150,GO:0008324,GO:0008509,GO:0008514,GO:0009987,GO:0010876,GO:0015075,GO:0015077,GO:0015081,GO:0015171,GO:0015175,GO:0015179,GO:0015193,GO:0015291,GO:0015293,GO:0015294,GO:0015370,GO:0015672,GO:0015711,GO:0015718,GO:0015804,GO:0015807,GO:0015824,GO:0015849,GO:0015908,GO:0015912,GO:0016020,GO:0022804,GO:0022857,GO:0022890,GO:0022891,GO:0022892,GO:0030001,GO:0033036,GO:0034220,GO:0035524,GO:0035725,GO:0044464,GO:0044699,GO:0044763,GO:0044765,GO:0046873,GO:0046942,GO:0046943,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944	K03307,K11928	PPAt4pp,PROt2r,PROt4,PROt4pp	bactNOG[38]	05CK7@bactNOG,0QIMN@gproNOG,16Q11@proNOG,COG0591@NOG	NA|NA|NA	E	Sodium proline symporter
GC00000283_1	553217.ENHAE0001_0111	2.8e-186	656.4	TOLB	GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0006810,GO:0008104,GO:0008150,GO:0015031,GO:0015833,GO:0017038,GO:0030288,GO:0030312,GO:0030313,GO:0031975,GO:0033036,GO:0042597,GO:0042886,GO:0043213,GO:0044462,GO:0044464,GO:0044699,GO:0044765,GO:0045184,GO:0051179,GO:0051234,GO:0071702,GO:0071705,GO:0071944	K03641		NOG[107]	COG0823@NOG	NA|NA|NA	U	Involved in the TonB-independent uptake of proteins (By similarity)
GC00000283_2	553217.ENHAE0001_0111	2.2e-22	112.1	TOLB	GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0006810,GO:0008104,GO:0008150,GO:0015031,GO:0015833,GO:0017038,GO:0030288,GO:0030312,GO:0030313,GO:0031975,GO:0033036,GO:0042597,GO:0042886,GO:0043213,GO:0044462,GO:0044464,GO:0044699,GO:0044765,GO:0045184,GO:0051179,GO:0051234,GO:0071702,GO:0071705,GO:0071944	K03641		NOG[107]	COG0823@NOG	NA|NA|NA	U	Involved in the TonB-independent uptake of proteins (By similarity)
GC00000283_3	335284.Pcryo_0446	1.1e-47	196.1	TOLB	GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0006810,GO:0008104,GO:0008150,GO:0015031,GO:0015833,GO:0017038,GO:0030288,GO:0030312,GO:0030313,GO:0031975,GO:0033036,GO:0042597,GO:0042886,GO:0043213,GO:0044462,GO:0044464,GO:0044699,GO:0044765,GO:0045184,GO:0051179,GO:0051234,GO:0071702,GO:0071705,GO:0071944	K03641		NOG[107]	COG0823@NOG	NA|NA|NA	U	Involved in the TonB-independent uptake of proteins (By similarity)
GC00000283_4	259536.Psyc_1253	3.7e-19	100.1	TOLB	GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0006810,GO:0008104,GO:0008150,GO:0015031,GO:0015833,GO:0017038,GO:0019534,GO:0030288,GO:0030312,GO:0030313,GO:0031975,GO:0033036,GO:0042597,GO:0042886,GO:0043213,GO:0044462,GO:0044464,GO:0044699,GO:0044765,GO:0045184,GO:0051179,GO:0051234,GO:0071702,GO:0071705,GO:0071944,GO:1901998	K03641		bactNOG[38]	07R6Y@bactNOG,16PSP@proNOG,COG0823@NOG	NA|NA|NA	U	Involved in the TonB-independent uptake of proteins (By similarity)
GC00000283_5	857571.EA1_04727	1.1e-83	315.8	TOLB	GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0006810,GO:0008104,GO:0008150,GO:0015031,GO:0015833,GO:0017038,GO:0030288,GO:0030312,GO:0030313,GO:0031975,GO:0033036,GO:0042597,GO:0042886,GO:0043213,GO:0044462,GO:0044464,GO:0044699,GO:0044765,GO:0045184,GO:0051179,GO:0051234,GO:0071702,GO:0071705,GO:0071944	K03641		NOG[107]	COG0823@NOG	NA|NA|NA	U	Involved in the TonB-independent uptake of proteins (By similarity)
GC00000283_6	857571.EA1_04727	2.5e-91	341.3	TOLB	GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0006810,GO:0008104,GO:0008150,GO:0015031,GO:0015833,GO:0017038,GO:0030288,GO:0030312,GO:0030313,GO:0031975,GO:0033036,GO:0042597,GO:0042886,GO:0043213,GO:0044462,GO:0044464,GO:0044699,GO:0044765,GO:0045184,GO:0051179,GO:0051234,GO:0071702,GO:0071705,GO:0071944	K03641		NOG[107]	COG0823@NOG	NA|NA|NA	U	Involved in the TonB-independent uptake of proteins (By similarity)
GC00000283_7	575587.HMPREF0026_01508	3e-222	776.2	TOLB	GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0006810,GO:0008104,GO:0008150,GO:0015031,GO:0015833,GO:0017038,GO:0019534,GO:0030288,GO:0030312,GO:0030313,GO:0031975,GO:0033036,GO:0042597,GO:0042886,GO:0043213,GO:0044462,GO:0044464,GO:0044699,GO:0044765,GO:0045184,GO:0051179,GO:0051234,GO:0071702,GO:0071705,GO:0071944,GO:1901998	K03641		bactNOG[38]	07R6Y@bactNOG,0QI0D@gproNOG,16PSP@proNOG,COG0823@NOG	NA|NA|NA	U	Involved in the TonB-independent uptake of proteins (By similarity)
GC00000283_r1_1	335284.Pcryo_0446	7.4e-144	515.4	TOLB	GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0006810,GO:0008104,GO:0008150,GO:0015031,GO:0015833,GO:0017038,GO:0030288,GO:0030312,GO:0030313,GO:0031975,GO:0033036,GO:0042597,GO:0042886,GO:0043213,GO:0044462,GO:0044464,GO:0044699,GO:0044765,GO:0045184,GO:0051179,GO:0051234,GO:0071702,GO:0071705,GO:0071944	K03641		NOG[107]	COG0823@NOG	NA|NA|NA	U	Involved in the TonB-independent uptake of proteins (By similarity)
GC00000283_r1_r1_1	335284.Pcryo_1133	4.2e-224	782.3	TOLB	GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0006810,GO:0008104,GO:0008150,GO:0015031,GO:0015833,GO:0017038,GO:0019534,GO:0030288,GO:0030312,GO:0030313,GO:0031975,GO:0033036,GO:0042597,GO:0042886,GO:0043213,GO:0044462,GO:0044464,GO:0044699,GO:0044765,GO:0045184,GO:0051179,GO:0051234,GO:0071702,GO:0071705,GO:0071944,GO:1901998	K03641		bactNOG[38]	07R6Y@bactNOG,16PSP@proNOG,COG0823@NOG	NA|NA|NA	U	Involved in the TonB-independent uptake of proteins (By similarity)
GC00000284_10	575564.HMPREF0014_00219	7.3e-59	232.6					bactNOG[38]	08F1N@bactNOG,0RA7G@gproNOG,0XV25@NOG,171EI@proNOG	NA|NA|NA	S	Protein of unknown function (DUF3298)
GC00000284_1	1002339.HMPREF9373_2375	1.3e-32	145.6					bactNOG[38]	08F1N@bactNOG,0RA7F@gproNOG,0XV25@NOG,171EI@proNOG	NA|NA|NA	S	Protein of unknown function (DUF3298)
GC00000284_2	1002339.HMPREF9373_2375	4.9e-16	90.1					bactNOG[38]	08F1N@bactNOG,0RA7F@gproNOG,0XV25@NOG,171EI@proNOG	NA|NA|NA	S	Protein of unknown function (DUF3298)
GC00000284_3	62977.ACIAD3092	2.7e-22	111.3					bactNOG[38]	05P5B@bactNOG,0QUCA@gproNOG,11Z8R@NOG,17J8V@proNOG	NA|NA|NA	S	(Lipo)protein
GC00000284_4	349106.PsycPRwf_2045	3.5e-22	110.9					bactNOG[38]	08F1N@bactNOG,0RA7F@gproNOG,0XV25@NOG,171EI@proNOG	NA|NA|NA	S	Protein of unknown function (DUF3298)
GC00000284_5	871585.BDGL_003461	1.7e-51	208.4					bactNOG[38]	05P5B@bactNOG,0QUCA@gproNOG,11Z8R@NOG,17J8V@proNOG	NA|NA|NA	S	(Lipo)protein
GC00000284_6	575589.HMPREF0018_02163	7.9e-59	233.0					bactNOG[38]	05P5B@bactNOG,0QUCA@gproNOG,11Z8R@NOG,17J8V@proNOG	NA|NA|NA	S	(Lipo)protein
GC00000284_7	575584.HMPREF0010_00641	1.6e-147	527.3	BL05383				bactNOG[38]	06A3J@bactNOG,0XV25@NOG,17TEA@proNOG	NA|NA|NA	S	Protein of unknown function (DUF3298)
GC00000284_8	575584.HMPREF0010_02889	2.5e-28	131.3					bactNOG[38]	08F1N@bactNOG,0RA7G@gproNOG,0XV25@NOG,171EI@proNOG	NA|NA|NA	S	Protein of unknown function (DUF3298)
GC00000284_9	575588.HMPREF0017_01824	2.2e-71	274.2					bactNOG[38]	08F1N@bactNOG,0XV25@NOG,171EI@proNOG	NA|NA|NA	S	Protein of unknown function (DUF3298)
GC00000284_r1_1	349106.PsycPRwf_2045	5.2e-26	123.6					bactNOG[38]	08F1N@bactNOG,0RA7F@gproNOG,0XV25@NOG,171EI@proNOG	NA|NA|NA	S	Protein of unknown function (DUF3298)
GC00000284_r1_2	335284.Pcryo_0423	6.1e-67	259.6					bactNOG[38]	05P5B@bactNOG,0QUCA@gproNOG,11Z8R@NOG,17J8V@proNOG	NA|NA|NA	S	(Lipo)protein
GC00000284_r1_r1_1	1002339.HMPREF9373_2375	2e-30	138.3					bactNOG[38]	08F1N@bactNOG,0RA7F@gproNOG,0XV25@NOG,171EI@proNOG	NA|NA|NA	S	Protein of unknown function (DUF3298)
GC00000284_r1_r1_2	575589.HMPREF0018_02163	2.3e-177	626.7					bactNOG[38]	05P5B@bactNOG,0QUCA@gproNOG,11Z8R@NOG,17J8V@proNOG	NA|NA|NA	S	(Lipo)protein
GC00000284_r1_r1_r1_1	525244.HMPREF0023_0415	2.6e-54	217.6					bactNOG[38]	08F1N@bactNOG,0RA7G@gproNOG,0XV25@NOG,171EI@proNOG	NA|NA|NA	S	Protein of unknown function (DUF3298)
GC00000284_r1_r1_r1_r1_1_p1	575587.HMPREF0026_00293	8.8e-121	438.3					bactNOG[38]	08F1N@bactNOG,0RA7G@gproNOG,0XV25@NOG,171EI@proNOG	NA|NA|NA	S	Protein of unknown function (DUF3298)
GC00000284_r1_r1_r1_r1_1_p2	575587.HMPREF0026_02607	1.3e-79	301.6					bactNOG[38]	05P5B@bactNOG,0QUCA@gproNOG,11Z8R@NOG,17J8V@proNOG	NA|NA|NA	S	(Lipo)protein
GC00000285_1	223283.PSPTO_2825	6.9e-95	352.8	IVAA		K03862		bactNOG[38]	08KUH@bactNOG,16RA9@proNOG,COG4638@NOG	NA|NA|NA	P	rieske (2Fe-2S)
GC00000285_2	392499.Swit_0966	1.1e-144	518.5			K18242		bactNOG[38]	020Y6@aproNOG,05XM3@bactNOG,174DU@proNOG,COG4638@NOG	NA|NA|NA	P	Rieske (2Fe-2S) domain-containing protein
GC00000285_3	511062.GU3_07985	1.5e-196	690.6	YEAW	GO:0003674,GO:0005488,GO:0051536,GO:0051537,GO:0051540	K00499		bactNOG[38]	05DVW@bactNOG,0QNIV@gproNOG,16Q05@proNOG,COG4638@NOG	NA|NA|NA	P	Rieske 2Fe-2S domain protein
GC00000285_4	871585.BDGL_000119	5e-213	745.3	YEAW	GO:0003674,GO:0005488,GO:0051536,GO:0051537,GO:0051540	K00499		bactNOG[38]	05DVW@bactNOG,0QNIV@gproNOG,16Q05@proNOG,COG4638@NOG	NA|NA|NA	P	Rieske 2Fe-2S domain protein
GC00000285_5	575588.HMPREF0017_00220	2.6e-272	942.6	HCAE	GO:0006082,GO:0006725,GO:0006805,GO:0008150,GO:0008152,GO:0009056,GO:0009410,GO:0009987,GO:0016054,GO:0018962,GO:0019380,GO:0019439,GO:0019752,GO:0032787,GO:0042178,GO:0042221,GO:0042537,GO:0043436,GO:0044237,GO:0044248,GO:0044281,GO:0044282,GO:0044699,GO:0044710,GO:0044712,GO:0044763,GO:0046395,GO:0050896,GO:0051716,GO:0070887,GO:0071466,GO:0071704,GO:0072329,GO:1901360,GO:1901361,GO:1901575	K03268,K05708,K08689,K14579,K14748	PPPNDO	bactNOG[38]	05FUY@bactNOG,16QQ2@proNOG,COG4638@NOG	NA|NA|NA	Q	(alpha) subunit
GC00000285_6	436717.AOLE_08540	4e-243	845.5	NAGG		K00479,K16319,K18074,K18242		bactNOG[38]	05IS1@bactNOG,0QNPF@gproNOG,16S4S@proNOG,COG4638@NOG	NA|NA|NA	Q	Ring hydroxylating dioxygenase, Rieske (2Fe-2S) protein
GC00000285_7_p1	575589.HMPREF0018_01618	2e-267	926.4	ANTA		K05599		bactNOG[38]	08Q89@bactNOG,0R1QK@gproNOG,177PI@proNOG,COG4638@NOG	NA|NA|NA	Q	anthranilate 1,2-dioxygenase, large subunit
GC00000285_7_p2	575584.HMPREF0010_03638	3e-268	929.1	BENA	GO:0003674,GO:0003824,GO:0008150,GO:0008152,GO:0009056,GO:0009987,GO:0016491,GO:0016705,GO:0016708,GO:0018624,GO:0044237,GO:0044248,GO:0044710,GO:0051213,GO:0055114	K05549	BZ12DOX	bactNOG[38]	05FUY@bactNOG,0QM3V@gproNOG,16QQ2@proNOG,COG4638@NOG	NA|NA|NA	Q	alpha subunit
GC00000286	575587.HMPREF0026_00691	6.6e-210	735.7					bactNOG[38]	06GJK@bactNOG,0QPMW@gproNOG,0YCJF@NOG,173V1@proNOG	NA|NA|NA		
GC00000287_1	349106.PsycPRwf_0095	1.3e-230	803.9	NQRF	GO:0003674,GO:0003824,GO:0003954,GO:0005575,GO:0005623,GO:0005886,GO:0006091,GO:0006119,GO:0006120,GO:0006793,GO:0006796,GO:0006810,GO:0006811,GO:0006812,GO:0006814,GO:0008137,GO:0008150,GO:0008152,GO:0009987,GO:0015672,GO:0015980,GO:0016020,GO:0016310,GO:0016491,GO:0016651,GO:0016655,GO:0022900,GO:0022904,GO:0030001,GO:0042773,GO:0042775,GO:0044237,GO:0044464,GO:0044699,GO:0044710,GO:0044765,GO:0045333,GO:0050136,GO:0051179,GO:0051234,GO:0055114,GO:0071944	K00351	NADHNQR	bactNOG[38]	05D26@bactNOG,0QJHN@gproNOG,16Q6E@proNOG,COG2871@NOG	NA|NA|NA	C	NQR complex catalyzes the reduction of ubiquinone-1 to ubiquinol by two successive reactions, coupled with the transport of Na( ) ions from the cytoplasm to the periplasm. The first step is catalyzed by NqrF, which accepts electrons from NADH and reduces ubiquinone-1 to ubisemiquinone by a one-electron transfer pathway (By similarity)
GC00000287_2	871585.BDGL_000470	5.4e-193	678.7		GO:0003674,GO:0003824,GO:0004497,GO:0005575,GO:0005622,GO:0005623,GO:0006725,GO:0008150,GO:0008152,GO:0009056,GO:0009987,GO:0016491,GO:0016705,GO:0016709,GO:0018662,GO:0018958,GO:0018959,GO:0019336,GO:0019439,GO:0044237,GO:0044248,GO:0044464,GO:0044710,GO:0046191,GO:0055114,GO:0071704,GO:1901360,GO:1901361,GO:1901575,GO:1901615,GO:1901616	K00523,K00529,K05784,K16246		bactNOG[38]	08JA0@bactNOG,0RAXS@gproNOG,1737B@proNOG,COG0543@NOG	NA|NA|NA	C	oxidoreductase FAD NAD(P)-binding
GC00000287_3	420662.Mpe_A0819	3.4e-80	303.9	TBUC		K05916,K15765		bactNOG[38]	08KUT@bactNOG,0BAAI@bproNOG,16SCU@proNOG,COG0543@NOG	NA|NA|NA	C	Oxidoreductase FAD-binding domain
GC00000287_4_p1	575584.HMPREF0010_00627	9.3e-182	641.3	ANTC	GO:0003674,GO:0003824,GO:0006725,GO:0008150,GO:0008152,GO:0009987,GO:0016491,GO:0016705,GO:0016708,GO:0018618,GO:0044237,GO:0044710,GO:0051213,GO:0055114	K11311		bactNOG[38]	05F57@bactNOG,0QQ2K@gproNOG,16SV1@proNOG,COG0543@NOG	NA|NA|NA	C	Anthranilate dioxygenase reductase
GC00000287_4_p2	436717.AOLE_13345	5.9e-189	665.2	BENC	GO:0006725,GO:0008150,GO:0008152,GO:0009056,GO:0009987,GO:0019439,GO:0044237,GO:0044248	K00351,K00523,K05783,K05784,K11311,K16161,K16246		bactNOG[38]	08JA0@bactNOG,0RAXT@gproNOG,1737C@proNOG,COG0543@NOG	NA|NA|NA	C	benzoate 1,2-dioxygenase electron transfer component
GC00000288_1	525244.HMPREF0023_0930	6.5e-97	359.4	HTRB		K02517,K12974		bactNOG[38]	07WI0@bactNOG,0QQKC@gproNOG,17AIV@proNOG,COG1560@NOG	NA|NA|NA	M	Lipid A Biosynthesis
GC00000288_2	553217.ENHAE0001_0266	4.8e-85	320.1	HTRB		K02517,K12974		bactNOG[38]	07WI0@bactNOG,0QQKC@gproNOG,17AIV@proNOG,COG1560@NOG	NA|NA|NA	M	Lipid A Biosynthesis
GC00000288_r1_1_p1	525244.HMPREF0023_0930	6.2e-148	528.9	HTRB		K02517,K12974		bactNOG[38]	07WI0@bactNOG,0QQKC@gproNOG,17AIV@proNOG,COG1560@NOG	NA|NA|NA	M	Lipid A Biosynthesis
GC00000288_r1_1_p2	259536.Psyc_1204	4.9e-131	472.6	HTRB		K02517,K12974		bactNOG[38]	07WI0@bactNOG,0QQKC@gproNOG,17AIV@proNOG,COG1560@NOG	NA|NA|NA	M	Lipid A Biosynthesis
GC00000289_1	9913.ENSBTAP00000010897	1.4e-07	62.4	MUC5B	GO:0003674,GO:0005198,GO:0005201,GO:0005575,GO:0005576,GO:0005578,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0005796,GO:0005975,GO:0006464,GO:0006486,GO:0006493,GO:0007155,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009987,GO:0016266,GO:0019538,GO:0022610,GO:0031012,GO:0031974,GO:0034645,GO:0036211,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0043413,GO:0043687,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044421,GO:0044422,GO:0044424,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0044699,GO:0044723,GO:0044763,GO:0070013,GO:0070085,GO:0071704,GO:1901135,GO:1901137,GO:1901576	K13908		maNOG[6]	09T5X@biNOG,0DJ79@chorNOG,0UGBW@maNOG,0V44Q@meNOG,0XNSK@NOG,12RES@opiNOG,1CV1H@veNOG,KOG1216@euNOG	NA|NA|NA	V, W	oligomeric mucus gel-forming
GC00000289_2	575587.HMPREF0026_01266	2.2e-24	117.5					bactNOG[38]	05WEH@bactNOG,0QZB2@gproNOG,12396@NOG,17HUQ@proNOG	NA|NA|NA	S	Inherit from bactNOG: Conserved repeat domain
GC00000289_3	553217.ENHAE0001_0677	1.7e-08	65.1					bactNOG[38]	05WEH@bactNOG,0QZB2@gproNOG,12396@NOG,17HUQ@proNOG	NA|NA|NA	S	Inherit from bactNOG: Conserved repeat domain
GC00000289_r1_1	575587.HMPREF0026_01266	5.5e-71	272.3					bactNOG[38]	05WEH@bactNOG,0QZB2@gproNOG,12396@NOG,17HUQ@proNOG	NA|NA|NA	S	Inherit from bactNOG: Conserved repeat domain
GC00000289_r1_r1_1	135651.CBN03876	1.4e-11	75.9					nemNOG[3]	0ASWR@biNOG,0EKQM@chrNOG,0KA0K@euNOG,0W81T@meNOG,0XGFV@nemNOG,10ISK@NOG,14KTC@opiNOG,18PKP@rhaNOG	NA|NA|NA	S	C6 domain
GC00000289_r1_r1_r1_1_p1	335284.Pcryo_1048	3.2e-65	253.1					bactNOG[38]	06GKZ@bactNOG,0Y697@NOG,17UKN@proNOG	NA|NA|NA		
GC00000289_r1_r1_r1_1_p2	349106.PsycPRwf_1405	3.2e-13	80.5					bactNOG[38]	06GKZ@bactNOG,0Y697@NOG,17UKN@proNOG	NA|NA|NA		
GC00000290_1	311402.Avi_1148	9.3e-73	278.5			K00799		bactNOG[38]	01Z9B@aproNOG,08TGY@bactNOG,178WQ@proNOG,COG0625@NOG	NA|NA|NA	O	Glutathione S-transferase
GC00000290_2	575584.HMPREF0010_03160	8.6e-114	414.8	YLIJ		K00799		bactNOG[38]	08K8R@bactNOG,0QPND@gproNOG,0ZZ4C@NOG,1770Q@proNOG	NA|NA|NA	O	Glutathione S-transferase
GC00000290_3	436717.AOLE_06170	1.1e-116	424.5			K00799		bactNOG[38]	067HK@bactNOG,0QUQ7@gproNOG,0XYVU@NOG,16R9N@proNOG	NA|NA|NA	O	Glutathione S-transferase
GC00000290_4	317655.Sala_0097	9e-120	434.9	GSTCH3		K11209		bactNOG[38]	01QD1@aproNOG,05CYM@bactNOG,16QF6@proNOG,COG0625@NOG	NA|NA|NA	O	Glutathione S-transferase
GC00000290_5	335284.Pcryo_1254	2.7e-113	413.3			K11209		bactNOG[38]	07QC8@bactNOG,0R0HH@gproNOG,174YZ@proNOG,COG0625@NOG	NA|NA|NA	O	Glutathione S-transferase
GC00000290_r1_1_p1	575587.HMPREF0026_02692	3.8e-114	416.0	GST7		K11209		bactNOG[38]	05CYM@bactNOG,0QJRQ@gproNOG,16QF6@proNOG,COG0625@NOG	NA|NA|NA	O	Glutathione S-transferase
GC00000290_r1_1_p2	259536.Psyc_1080	5.3e-121	439.1	YGHU	GO:0003674,GO:0003824,GO:0008150,GO:0008152,GO:0015036,GO:0016491,GO:0016667,GO:0044710,GO:0055114	K11209		bactNOG[38]	05CYM@bactNOG,0QJRQ@gproNOG,16QF6@proNOG,COG0625@NOG	NA|NA|NA	O	Glutathione S-transferase
GC00000291_1	575584.HMPREF0010_01052	1.8e-169	600.5	BMUL_6122				bactNOG[38]	08M8W@bactNOG,0QP56@gproNOG,16QB4@proNOG,COG2141@NOG	NA|NA|NA	C	Luciferase family
GC00000291_2	1002339.HMPREF9373_1499	1.8e-188	663.7	YHBW				bactNOG[38]	05DEN@bactNOG,16PC0@proNOG,COG2141@NOG	NA|NA|NA	C	Luciferase family
