geneCluster	Gene	Annotation	Min.group.size	Max.group.size	Avg.group.size	num_isolates	num_sequences	av_seq_per_isolate	num_basal_isolates	num_basal_seq	num_derived_isolates	num_derived_seq	num_flex_isolates	num_flex_seq	num_restricted_isolates	num_restricted_seq	GO_terms	KEGG_KOs	COG.cat	eggNOG.annot
GC00000144_2	gluQ	Glutamyl-Q_tRNA(Asp)_syntheta	325	325	325	1	1	0.01176471	0	0	1	1	1	1	0	0	"GO:0000166,GO:0001882,GO:0001883,GO:0002097,GO:0003674,GO:0003824,GO:0004812,GO:0005488,GO:0005524,GO:0006082,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006412,GO:0006418,GO:0006424,GO:0006520,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0008270,GO:0009058,GO:0009059,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0016876,GO:0017076,GO:0019538,GO:0019752,GO:0030554,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032559,GO:0034470,GO:0034641,GO:0034645,GO:0034660,GO:0035639,GO:0036094,GO:0043038,GO:0043039,GO:0043167,GO:0043168,GO:0043169,GO:0043170,GO:0043412,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044281,GO:0044710,GO:0046483,GO:0046872,GO:0046914,GO:0071704,GO:0090304,GO:0097159,GO:1901265,GO:1901360,GO:1901363,GO:1901564,GO:1901576"	"K01885,K01894"	J	"Catalyzes the tRNA-independent activation of glutamate in presence of ATP and the subsequent transfer of glutamate onto a tRNA(Asp). Glutamate is transferred on the 2-amino-5-(4,5- dihydroxy-2-cyclopenten-1-yl) moiety of the queuosine in the wobble position of the QUC anticodon (By similarity)"
GC00000165_3	"dTDP-4-amino-4,6-dideoxyglucose"	formyltransfera	250	250	250	1	1	0.01176471	0	0	1	1	0	0	1	1	"GO:0003674,GO:0003824,GO:0004479,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005975,GO:0006082,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006412,GO:0006413,GO:0006418,GO:0006431,GO:0006464,GO:0006520,GO:0006629,GO:0006643,GO:0006644,GO:0006664,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006996,GO:0007005,GO:0008033,GO:0008150,GO:0008152,GO:0008610,GO:0008654,GO:0009058,GO:0009059,GO:0009117,GO:0009225,GO:0009245,GO:0009247,GO:0009311,GO:0009312,GO:0009451,GO:0009536,GO:0009636,GO:0009987,GO:0010467,GO:0016043,GO:0016051,GO:0016070,GO:0016491,GO:0016614,GO:0016616,GO:0016740,GO:0016741,GO:0016742,GO:0016829,GO:0016830,GO:0016831,GO:0019538,GO:0019637,GO:0019752,GO:0019988,GO:0020011,GO:0032543,GO:0034470,GO:0034641,GO:0034645,GO:0034660,GO:0036211,GO:0040007,GO:0042221,GO:0043038,GO:0043039,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044267,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0044699,GO:0044710,GO:0044723,GO:0044763,GO:0046398,GO:0046467,GO:0046483,GO:0046493,GO:0046677,GO:0050896,GO:0055086,GO:0055114,GO:0071704,GO:0071840,GO:0071951,GO:0090304,GO:0090407,GO:1901135,GO:1901137,GO:1901269,GO:1901271,GO:1901360,GO:1901564,GO:1901576"	"K00604,K01992,K10011,K19640"	J	Modifies the free amino group of the aminoacyl moiety of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by (I) promoting its recognition by IF2 and (II) impairing its binding to EFTu-GTP (By similarity)
GC00000181_7	hypothetical	NA	321	321	321	1	1	0.01176471	1	1	0	0	1	1	0	0	"GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0008150,GO:0016020,GO:0030312,GO:0040007,GO:0044424,GO:0044444,GO:0044464,GO:0071944"	"K08300,K08301"	J	"ribonuclease, Rne Rng family"
GC00000311_2	mdlY	Mandelamide_hydrola	482	482	482	1	1	0.01176471	0	0	1	1	0	0	1	1	NA	"K02433,K18541"	J	hydrolase
GC00000311_6	aam	Acylamida	326	326	326	1	1	0.01176471	0	0	1	1	1	1	0	0	NA	"K01426,K02433"	J	amidase (EC 3.5.1.4
GC00000374_1	fmt	Methionyl-tRNA_formyltransfera	173	173	173	1	1	0.01176471	0	0	1	1	0	0	1	1	NA	K00604	J	Formyl transferase
GC00000374_3	fmt	Methionyl-tRNA_formyltransfera	390	390	390	1	1	0.01176471	0	0	1	1	0	0	1	1	NA	"K00604,K10011"	J	Ankyrin repeat
GC00000374_4	arnA	Bifunctional_polymyxin_resistance_protein_ArnA	319	319	319	1	1	0.01176471	0	0	1	1	0	0	1	1	NA	"K00604,K10011"	J	Modifies the free amino group of the aminoacyl moiety of methionyl-tRNA(fMet). The formyl group appears to play a dual role in the initiator identity of N-formylmethionyl-tRNA by (I) promoting its recognition by IF2 and (II) impairing its binding to EFTu-GTP (By similarity)
GC00000689_1	rsmB	Ribosomal_RNA_small_subunit_methyltransferase_B	490	490	490	1	1	0.01176471	0	0	1	1	1	1	0	0	"GO:0000154,GO:0001510,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008169,GO:0008173,GO:0008649,GO:0008757,GO:0009383,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016434,GO:0016740,GO:0016741,GO:0022613,GO:0031167,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043412,GO:0043414,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0070475,GO:0071704,GO:0071840,GO:0090304,GO:1901360"	K03500	J	nOP2 Sun
GC00000689_r1_1	rsmB	Ribosomal_RNA_small_subunit_methyltransferase_B	489	489	489	1	1	0.01176471	0	0	1	1	1	1	0	0	"GO:0000154,GO:0001510,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008169,GO:0008173,GO:0008649,GO:0008757,GO:0009383,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016434,GO:0016740,GO:0016741,GO:0022613,GO:0031167,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043412,GO:0043414,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0070475,GO:0071704,GO:0071840,GO:0090304,GO:1901360"	K03500	J	nOP2 Sun
GC00000931_1	truB	RNA_pseudouridine_synthase_B	346	346	346	1	1	0.01176471	0	0	1	1	1	1	0	0	"GO:0001522,GO:0003674,GO:0003824,GO:0005575,GO:0005618,GO:0005623,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009451,GO:0009982,GO:0009987,GO:0010467,GO:0016070,GO:0016853,GO:0016866,GO:0030312,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:1901360"	K03177	J	Responsible for synthesis of pseudouridine from uracil- 55 in the psi GC loop of transfer RNAs (By similarity)
GC00001059_1	truD	RNA_pseudouridine_synthase_D	438	438	438	1	1	0.01176471	0	0	1	1	1	1	0	0	NA	K06176	J	Responsible for synthesis of pseudouridine from uracil- 13 in transfer RNAs (By similarity)
GC00001059_2	truD	RNA_pseudouridine_synthase_D	398	398	398	1	1	0.01176471	0	0	1	1	1	1	0	0	NA	K06176	J	Responsible for synthesis of pseudouridine from uracil- 13 in transfer RNAs (By similarity)
GC00001059_r1_1	truD	RNA_pseudouridine_synthase_D	389	389	389	1	1	0.01176471	0	0	1	1	1	1	0	0	NA	K06176	J	Responsible for synthesis of pseudouridine from uracil- 13 in transfer RNAs (By similarity)
GC00001126_1	cca	CCA-adding_enzym	392	392	392	1	1	0.01176471	0	0	1	1	1	1	0	0	"GO:0001680,GO:0003674,GO:0003824,GO:0004112,GO:0004810,GO:0006139,GO:0006396,GO:0006399,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0008033,GO:0008081,GO:0008150,GO:0008152,GO:0009987,GO:0010467,GO:0016070,GO:0016311,GO:0016437,GO:0016740,GO:0016772,GO:0016779,GO:0016787,GO:0016788,GO:0016791,GO:0031123,GO:0034470,GO:0034641,GO:0034660,GO:0042245,GO:0042578,GO:0042780,GO:0043170,GO:0043628,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0070566,GO:0070567,GO:0071704,GO:0090304,GO:1901360"	"K00970,K00974"	J	"Catalyzes the addition and repair of the essential 3'- terminal CCA sequence in tRNAs without using a nucleic acid template. Adds these three nucleotides in the order of C, C, and A to the tRNA nucleotide-73, using CTP and ATP as substrates and producing inorganic pyrophosphate. Also shows phosphatase, 2'- nucleotidase and 2',3'-cyclic phosphodiesterase activities. These phosphohydrolase activities are probably involved in the repair of the tRNA 3'-CCA terminus degraded by intracellular RNases (By similarity)"
GC00001127_1	pcnB	Poly(A)_polymerase_I	683	683	683	1	1	0.01176471	0	0	1	1	1	1	0	0	"GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0004652,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006276,GO:0006378,GO:0006396,GO:0006397,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016071,GO:0016740,GO:0016772,GO:0016779,GO:0031123,GO:0031124,GO:0034641,GO:0043170,GO:0043412,GO:0043631,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0044699,GO:0044763,GO:0046483,GO:0070566,GO:0071704,GO:0090304,GO:0097159,GO:1901360,GO:1901363"	"K00970,K00974"	J	polyA polymerase
GC00001152_1	trmJ	RNA_(cytidine/uridine-2'-O-)-methyltransferase_TrmJ	274	274	274	1	1	0.01176471	0	0	1	1	1	1	0	0	"GO:0001510,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0008168,GO:0008173,GO:0008175,GO:0008757,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016300,GO:0016427,GO:0016740,GO:0016741,GO:0030488,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0043170,GO:0043412,GO:0043414,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:1901360"	"K01883,K02533,K15396"	J	"RNA methyltransferase TrmH family, group 1"
GC00001243_1	tsaC	Threonylcarbamoyl-AMP_syntha	220	220	220	1	1	0.01176471	0	0	1	1	1	1	0	0	"GO:0000049,GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003676,GO:0003723,GO:0003725,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009116,GO:0009119,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0017076,GO:0030554,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032559,GO:0034470,GO:0034641,GO:0034660,GO:0035639,GO:0036094,GO:0042278,GO:0043167,GO:0043168,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044281,GO:0044424,GO:0044464,GO:0044710,GO:0046085,GO:0046128,GO:0046483,GO:0055086,GO:0070525,GO:0070526,GO:0071704,GO:0072521,GO:0090304,GO:0097159,GO:1901135,GO:1901265,GO:1901360,GO:1901363,GO:1901564,GO:1901657"	K07566	J	Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine (By similarity)
GC00001243_r1_1	tsaC	Threonylcarbamoyl-AMP_syntha	216	216	216	1	1	0.01176471	0	0	1	1	1	1	0	0	"GO:0000049,GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003676,GO:0003723,GO:0003725,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009116,GO:0009119,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0017076,GO:0030554,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032559,GO:0034470,GO:0034641,GO:0034660,GO:0035639,GO:0036094,GO:0042278,GO:0043167,GO:0043168,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044281,GO:0044424,GO:0044464,GO:0044710,GO:0046085,GO:0046128,GO:0046483,GO:0055086,GO:0070525,GO:0070526,GO:0071704,GO:0072521,GO:0090304,GO:0097159,GO:1901135,GO:1901265,GO:1901360,GO:1901363,GO:1901564,GO:1901657"	K07566	J	Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine (By similarity)
GC00001558_1	hypothetical	NA	266	266	266	1	1	0.01176471	0	0	1	1	1	1	0	0	NA	K01166	J	Ribonuclease
GC00001558_2	hypothetical	NA	247	247	247	1	1	0.01176471	0	0	1	1	1	1	0	0	NA	K01166	J	Ribonuclease
GC00001558_r1_1	hypothetical	NA	222	222	222	1	1	0.01176471	0	0	1	1	1	1	0	0	NA	K01166	J	Ribonuclease
GC00002026_1	mshD	Mycothiol_acetyltransfera	178	178	178	1	1	0.01176471	1	1	0	0	1	1	0	0	NA	NA	J	GCN5-related N-acetyltransferase
GC00003414_1	hypothetical	NA	179	179	179	1	1	0.01176471	0	0	1	1	0	0	1	1	NA	NA	J	Inherit from proNOG: -acetyltransferase
GC00003414_r1_1	ydaF	Putative_ribosomal_N-acetyltransferase_YdaF	181	181	181	1	1	0.01176471	0	0	1	1	0	0	1	1	NA	NA	J	Inherit from bactNOG: Gcn5-related n-acetyltransferase
GC00003889_1	hypothetical	NA	188	188	188	1	1	0.01176471	0	0	1	1	0	0	1	1	NA	K15896	J	Inherit from proNOG: pseudaminic acid biosynthesis n-acetyl transferase
GC00004163_1	ydaF	Putative_ribosomal_N-acetyltransferase_YdaF	179	179	179	1	1	0.01176471	0	0	1	1	0	0	1	1	"GO:0003674,GO:0003824,GO:0004596,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006464,GO:0006473,GO:0006474,GO:0008080,GO:0008150,GO:0008152,GO:0008999,GO:0009987,GO:0016407,GO:0016410,GO:0016740,GO:0016746,GO:0016747,GO:0017198,GO:0018193,GO:0018209,GO:0019538,GO:0030920,GO:0031365,GO:0034212,GO:0036211,GO:0043170,GO:0043412,GO:0043543,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0071704"	K03817	J	Acetyltransferase (GNAT) family
GC00006070	hypothetical	NA	154	154	154	1	1	0.01176471	0	0	1	1	1	1	0	0	NA	NA	J	endoribonuclease L-PSP
GC00006401	neo	Aminoglycoside_3'-phosphotransfera	252	252	252	1	1	0.01176471	0	0	1	1	1	1	0	0	NA	"K00897,K10673,K19272,K19299"	J	Phosphotransferase enzyme family
GC00006472	hypothetical	NA	167	167	167	1	1	0.01176471	0	0	1	1	0	0	1	1	NA	K09022	J	endoribonuclease L-PSP
GC00006525	hypothetical	NA	460	460	460	1	1	0.01176471	0	0	1	1	0	0	1	1	NA	NA	J	Inherit from bactNOG: NoeA host specific nodulation protein
GC00006701	hypothetical	NA	140	140	140	1	1	0.01176471	0	0	1	1	0	0	1	1	"GO:0000966,GO:0000967,GO:0003674,GO:0003824,GO:0004518,GO:0004540,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006396,GO:0006401,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008995,GO:0009056,GO:0009057,GO:0009987,GO:0010467,GO:0016070,GO:0016787,GO:0016788,GO:0019439,GO:0034470,GO:0034471,GO:0034641,GO:0034655,GO:0034660,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0044424,GO:0044464,GO:0046483,GO:0046700,GO:0071704,GO:0090304,GO:0090305,GO:1901360,GO:1901361,GO:1901575"	"K08300,K08301"	J	Ribonuclease E
GC00006858	Acetyltransferase Acetyltransfera	1	178	NA	NA	1	1	0.01176471	0	0	1	1	0	0	1	1	"GO:0003674,GO:0003824,GO:0008150,GO:0008152,GO:0016407,GO:0016740,GO:0016746,GO:0016747"	"K00657,K03825,K15896"	J	Acetyltransferase (GNAT) family
GC00000028_r1_1_p1_p2	cspV	Cold_shock_protein_CspV	70	99	70.48275862	85	85	1	7	7	78	78	27	27	58	58	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"	K03704	K	Cold shock protein
GC00000047_2	ihfA	Integration_host_factor_subunit_alpha	98	137	99.83908046	85	85	1	7	7	78	78	27	27	58	58	"GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0006139,GO:0006259,GO:0006310,GO:0006355,GO:0006417,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009889,GO:0009987,GO:0010468,GO:0010556,GO:0010608,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0032268,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0050789,GO:0050794,GO:0051171,GO:0051246,GO:0051252,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:2000112,GO:2001141"	"K04764,K05788"	K	"This protein is one of the two subunits of integration host factor, a specific DNA-binding protein that functions in genetic recombination as well as in transcriptional and translational control (By similarity)"
GC00000047_3	ihfB	Integration_host_factor_subunit_beta	79	104	100.5632184	85	85	1	7	7	78	78	27	27	58	58	"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006351,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0018130,GO:0019438,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:1901360,GO:1901362,GO:1901576"	"K03530,K05788"	K	"This protein is one of the two subunits of integration host factor, a specific DNA-binding protein that functions in genetic recombination as well as in transcriptional and translational control (By similarity)"
GC00000050_3	oxyR	Hydrogen_peroxide-inducible_genes_activa	300	310	302.5402299	85	85	1	7	7	78	78	27	27	58	58	NA	K04761	K	Transcriptional regulator
GC00000060_5	hypothetical	NA	234	300	289.7816092	85	85	1	7	7	78	78	27	27	58	58	NA	"K11921,K17737"	K	LysR family transcriptional regulator
GC00000084_5	decR	DNA-binding_transcriptional_activator_DecR	127	178	161.954023	85	85	1	7	7	78	78	27	27	58	58	NA	K03719	K	Transcriptional regulator
GC00000114_1	rpoH	RNA_polymerase_sigma_factor_RpoH	330	429	346.8735632	85	85	1	7	7	78	78	27	27	58	58	"GO:0000988,GO:0000990,GO:0000996,GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0006139,GO:0006351,GO:0006352,GO:0006355,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0016070,GO:0016987,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031326,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0046483,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:2000112,GO:2001141"	K03089	K	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released (By similarity)
GC00000114_2	hypothetical	NA	54	642	607.2527473	85	85	1	7	7	78	78	27	27	58	58	"GO:0000988,GO:0000990,GO:0000996,GO:0001666,GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0005515,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006139,GO:0006351,GO:0006352,GO:0006355,GO:0006725,GO:0006807,GO:0006950,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009266,GO:0009405,GO:0009408,GO:0009410,GO:0009415,GO:0009607,GO:0009628,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010035,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010565,GO:0010604,GO:0010628,GO:0016020,GO:0016070,GO:0016987,GO:0018130,GO:0019216,GO:0019217,GO:0019219,GO:0019222,GO:0019438,GO:0019899,GO:0030312,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032774,GO:0032879,GO:0032880,GO:0034641,GO:0034645,GO:0034654,GO:0036293,GO:0040007,GO:0042221,GO:0043170,GO:0043175,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044403,GO:0044419,GO:0044424,GO:0044444,GO:0044464,GO:0045893,GO:0045935,GO:0046483,GO:0048518,GO:0048522,GO:0050708,GO:0050789,GO:0050794,GO:0050896,GO:0051046,GO:0051049,GO:0051171,GO:0051173,GO:0051223,GO:0051252,GO:0051254,GO:0051701,GO:0051704,GO:0051707,GO:0052173,GO:0052200,GO:0052564,GO:0052572,GO:0060255,GO:0060341,GO:0065007,GO:0070063,GO:0070201,GO:0070482,GO:0071704,GO:0071944,GO:0075136,GO:0080090,GO:0090304,GO:0097159,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1901700,GO:2000112,GO:2001141"	"K02316,K03086,K03087"	K	Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released (By similarity)
GC00000135_2	bolA	DNA-binding_transcriptional_regulator_BolA	66	118	108.25	85	85	1	7	7	78	78	27	27	58	58	"GO:0000003,GO:0000910,GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0006950,GO:0007049,GO:0008150,GO:0008152,GO:0008360,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0019954,GO:0022402,GO:0022603,GO:0022604,GO:0031323,GO:0031326,GO:0032505,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043093,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044699,GO:0044763,GO:0046483,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051128,GO:0051171,GO:0051252,GO:0051301,GO:0060255,GO:0065007,GO:0065008,GO:0071704,GO:0080090,GO:0090304,GO:0097159,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:2000112,GO:2001141"	K05527	K	BolA protein
GC00000183_6	yidZ	HTH-type_transcriptional_regulator_YidZ	60	379	320.3736264	85	86	1.01176471	7	8	78	78	27	28	58	58	NA	NA	K	Transcriptional regulator
GC00000384	rpoB	DNA-directed_RNA_polymerase_subunit_beta	40	1372	1244.357895	85	86	1.01176471	7	7	78	79	27	27	58	59	"GO:0003674,GO:0003824,GO:0003899,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0016070,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019438,GO:0032774,GO:0034062,GO:0034641,GO:0034654,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:1901360,GO:1901362,GO:1901576"	K03043	K	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)
GC00000388_4	hypothetical	NA	82	229	224.5454545	85	85	1	7	7	78	78	27	27	58	58	NA	NA	K	TetR family transcriptional regulator
GC00000403_3	metR	HTH-type_transcriptional_regulator_MetR	294	328	297.6666667	85	85	1	7	7	78	78	27	27	58	58	"GO:0001071,GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006355,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0016597,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0031406,GO:0043167,GO:0043168,GO:0044424,GO:0044464,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:0097159,GO:1901363,GO:2000112,GO:2001141"	K03576	K	Transcriptional regulator
GC00000418_3	rapA	RNA_polymerase-associated_protein_RapA	784	1028	964.5632184	85	85	1	7	7	78	78	27	27	58	58	"GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003676,GO:0003824,GO:0004386,GO:0005488,GO:0005524,GO:0006139,GO:0006152,GO:0006163,GO:0006195,GO:0006200,GO:0006355,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009126,GO:0009128,GO:0009141,GO:0009143,GO:0009144,GO:0009146,GO:0009150,GO:0009154,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009167,GO:0009169,GO:0009199,GO:0009203,GO:0009205,GO:0009207,GO:0009259,GO:0009261,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019219,GO:0019222,GO:0019439,GO:0019637,GO:0019693,GO:0030554,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034655,GO:0035639,GO:0036094,GO:0042278,GO:0042454,GO:0043167,GO:0043168,GO:0044237,GO:0044238,GO:0044248,GO:0044270,GO:0044281,GO:0044710,GO:0045893,GO:0045935,GO:0046034,GO:0046128,GO:0046130,GO:0046434,GO:0046483,GO:0046700,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0055086,GO:0060255,GO:0065007,GO:0071704,GO:0072521,GO:0072523,GO:0080090,GO:0097159,GO:1901135,GO:1901136,GO:1901265,GO:1901292,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901657,GO:1901658,GO:2000112,GO:2001141"	K03580	K	"Transcription regulator that activates transcription by stimulating RNA polymerase (RNAP) recycling in case of stress conditions such as supercoiled DNA or high salt concentrations. Probably acts by releasing the RNAP, when it is trapped or immobilized on tightly supercoiled DNA. Does not activate transcription on linear DNA. Probably not involved in DNA repair (By similarity)"
